;X001_Name;X002_Street;X003_PEastcode;X004_City;X006_Country;X010_Lon;X011_Lat;X012_NoRooms;X014_CheckIn;X016_MultiLang;X022_ConfOrMeetingRooms;X025_Pool;X026_RestaurantOrCafe;X027_Fitnesscenter;X029_FreeInternet;X035_BarOrLounge;X040_FreeParking;X046_PayOptions;X052_RoomService;X055_Minibar;X098_DistanceSerraDeTramuntana;X099_DistanceCathedralLeSeu;X100_DistanceAlcudiaOldTown;X102_DistanceToBeach;X103LocationBeach
90;Ona Cala Pi Club;Urbanizacion Torre Cala Pi Solar 7;7639;Llucmajor;Spain;2,848532;39,36683;118;4:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;MasterCard; Visa;TRUE;FALSE;38,25718727;28,16906827;58,84354289;1,083292604;West
93;IberEastar Royal Playa de Palma;Calle Marbella 36;7610;Playa de Palma;Spain;2,738189;39,52317;157;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;MasterCard; Visa;FALSE;TRUE;21,34231654;9,18491812;49,14062039;0,073375842;West
96;SENTIDO Cala Vinas;C/ Las Sirenas 17;7181;Cala Vinyes;Spain;2,535433;39,496;245;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;American Express; Visa; MasterCard;FALSE;FALSE;10,11079816;12,45542097;63,88946143;0,1494146;West
100;Finca Ca's Sant;Cami de Ses Fontanelles 34;7100;Sóller;Spain;2,721811;39,77049;8;1:00 PM;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;Visa; MasterCard; Maestro;FALSE;TRUE;28,07462902;23,45359742;35,2855473;3,262538011;North
102;THB El Cid;Vaixell 2;7610;Playa de Palma;Spain;2,722131;39,53423;216;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;FALSE;FALSE;19,66389037;7,371122469;49,17133262;0,042527336;West
104;Holiday Park Apartments;Ramon de Moncada 35;7180;Santa Ponsa;Spain;2,4835;39,52017;120;12:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;FALSE;7,167917449;15,00239903;65,8754058;0,322959864;West
106;Hotel Riu Bonanza Park;Paseo de Illetas S/N;7181;Illetas;Spain;2,59289;39,54125;285;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard; Maestro;TRUE;FALSE;9,105650513;5,506843894;56,91060562;0,197582699;West
108;Hotel HEastal Cuba;Calle San Magin 1;7013;Palma de Mallorca;Spain;2,639109;39,57019;15;3:00 PM;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;TRUE;11,86955609;0,791559279;51,81125074;1,695538474;West
109;Hotel Cas Ferrer Nou Hotelet;Carrer Pou Nou 1;7400;Alcudia;Spain;3,122214;39,85401;6;1:00 PM;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;FALSE;FALSE;60,99265034;51,58696905;0,152710925;0,975746702;East
113;Hotel Amic Horizonte;C/ Vista Alegre 1;7015;Palma de Mallorca;Spain;2,621524;39,55543;199;1:00 PM;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;10,72866057;2,591887441;54,00618923;1,033005056;West
118;Castell Son Claret;Carretera Es Capdella-Galilea km 1.7;7196;Es Capdella;Spain;2,479605;39,59078;38;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;2,061277467;14,6191518;62,08157209;6,395676267;Center
121;Predi Son Jaumell Hotel Rural;Carretera Cala Mesquida;7580;Capdepera;Spain;3,428893;39,71371;24;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;FALSE;FALSE;80,65804246;68,80850842;30,50929782;2,101981764;South
123;Hotel JS Palma Stay;C/ Pins 26;7610;Can Pastilla;Spain;2,711695;39,53574;242;2:00 PM;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; Visa;TRUE;FALSE;18,75830305;6,519281638;49,67488686;0,09598475;West
129;Maritim Hotel Galatzo;Carretera de Andratx Km 20;7160;Peguera;Spain;2,47334;39,52851;172;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard; Maestro;FALSE;FALSE;6,535636804;15,53805737;66,08318132;0,688430349;West
131;Hotel Spa HSM President;Cami d'Aucanada 65;7410;Port d'Alcudia;Spain;3,156639;39,83821;248;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; Visa;FALSE;FALSE;62,76196133;52,91808214;3,456280145;0,064873746;East
132;Hotel La Vila;Plaza Constitucion 14;7100;Soller;Spain;2,715382;39,76663;8;2:00 PM;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; Visa;TRUE;FALSE;27,3882676;22,89556437;35,92887075;3,24960082;North
136;IberEastar Pinos Park;Calle Canyamel 33;7589;Font de Sa Cala;Spain;3,452313;39,6832;202;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;TRUE;82,12037942;70,07051944;34,01138273;0,092774312;South
144;H10 Playas de Mallorca;Gran Via del Puig Major 2;7180;Santa Ponsa;Spain;2,481641;39,51732;212;2:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;FALSE;7,512028467;15,26442126;66,18590738;0,060021093;West
146;Aparthotel Porto Drach;Passeig des Cap des Toi 25;7680;Porto Cristo;Spain;3,331109;39,53849;74;2:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;American Express; Visa; MasterCard;FALSE;FALSE;71,23947343;58,65212404;39,2951468;0,451073736;South
149;Hotel Mirador;Paseo Maritimo 10;7014;Palma de Mallorca;Spain;2,630399;39,56884;88;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;11,14996567;1,479876108;52,49556224;2,359076336;West
153;OD Port Portals;Calle Tomas Blanes Tolosa 4;7181;Calvia;Spain;2,56581;39,53438;77;3:00 PM;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa; Diners Club Card;TRUE;FALSE;7,725633645;7,902643389;59,21958164;0,288868097;Center
156;Club Santa Ponsa;Nunyo Sanc 14;7180;Santa Ponsa;Spain;2,475047;39,52086;142;2:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Visa; MasterCard; Maestro;FALSE;FALSE;7,285334372;15,65766897;66,43194865;0,459696901;West
161;Barcelo Pueblo Park;Fray Joan Llabres 16;7600;Playa de Palma;Spain;2,748769;39,51603;276;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard; Maestro;TRUE;FALSE;22,45719271;10,37713642;49,1455102;0,291449598;West
162;Blau Colonia Sant Jordi Resort & Spa;Camino de los Estanques s/n;7638;Colonia de Sant Jordi;Spain;2,994654;39,32245;395;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;FALSE;TRUE;51,27651855;40,34134145;59,93929837;0,571011425;West
163;Hotel Bahia;Avenida Peguera 81;7160;Peguera;Spain;2,458059;39,53629;52;11:00 AM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard;TRUE;FALSE;6,403362679;16,59819309;66,7192303;0,137813854;West
164;Palau Sa Font;Apuntadores 38;7012;Palma de Mallorca;Spain;2,643692;39,56971;19;2:00 PM;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;MasterCard; American Express; Diners Club Card; Visa;FALSE;TRUE;12,26569683;0,42538982;51,53300815;1,319244375;West
